#source: one real, unchanged row from https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/outputs/mapping_similarities__e5-large-instruct.csv and the matching row in mapping_similarities__m2v-bge-m3-1024d.csv (both real outputs of Lasse's Scripts/test_mapping_embeddings.py, CC BY 4.0). Original SSSOM row: Mappings/inrap_pactols_sujets_aat.sssom.tsv.
#comment: "petit appareil" (French masonry term) / "brickwork (masonry)" is a real skos:closeMatch pair with near-zero string similarity across all eight string metrics Lasse's script computed (0.17-0.46) but a real e5 cosine of 0.805 - a genuine cross-lingual catch. The weaker m2v-bge model scores it 0.051, essentially missing it.
#comment_2: random_pair_mean_e5_full and exact_match_mean_e5_full are NOT copied from Lasse's CSVs (his script computes them in-memory and does not write them to a file) - resampled here directly from his own cached embeddings (label_embeddings__e5-large-instruct__full.pkl) using the same method (2000 random label pairs) and reading exact_match_mean straight from mapping_similarities__e5-large-instruct.csv. Not bit-identical to a specific run of his script (different random draw), but the same real embeddings and the same procedure - stated plainly in the scenario README.
#comment_3: calibrated_band is NOT a GSAS output - no GSAS model calibrates embedding techniques. It is this scenario's own illustrative placement of the raw score against the three real reference points, expressed using GSAS's existing 4-Level vocabulary (dubious/low/medium/high) rather than a new invented scale. See the scenario README for the reasoning and its limits.
subject_id	subject_label	object_id	object_label	predicate_id	technique	raw_value	random_pair_mean	closematch_mean	exactmatch_mean	calibrated_band
pactols:pcrtuObVSkeViP	petit appareil	aat:300015333	brickwork (masonry)	skos:closeMatch	emb_e5-large-instruct_full	0.805176	0.828	0.891	0.906	dubious
pactols:pcrtuObVSkeViP	petit appareil	aat:300015333	brickwork (masonry)	skos:closeMatch	emb_m2v-bge-m3-1024d_full	0.050690			0.809	dubious
pactols:pcrtuObVSkeViP	petit appareil	aat:300015333	brickwork (masonry)	skos:closeMatch	str_levenshtein_full	0.242424			0.798	low
