#source: three real chains, built from unchanged rows across multiple files in https://github.com/LasseMempel/thesaurusscience (CC BY 4.0):
#  chain 1: Mappings/dariah_vocabs__https_vocabs_dariah_eu_bbt_conceptscheme_backbone_thesaurus__unknown_target_scheme.sssom.tsv (materials -narrowMatch-> gemet:5184) + Mappings/dariah_vocabs__http_www_eionet_europa_eu_gemet_gemetthesaurus__unknown_target_scheme.sssom.tsv (gemet:5184 metal -closeMatch-> dbpedia:Metal)
#  chain 2/3: Mappings/wortnetz__http_lvr_vocnet_org_wnk__unknown_target_scheme.sssom.tsv (tower -narrowMatch-> aat:300004847) + Mappings/dai_aat.sssom.tsv (dai Turm -exactMatch-> aat:300004847, read via symmetry) + Mappings/dai__http_thesauri_dainst_org_scheme__http_thesauri_dainst_org_scheme.sssom.tsv (dai tower alone -exactMatch-> dai Turm, via symmetry; dai tower alone -closeMatch-> dai Observation tower)
#comment: none of these chains could be composed by SKOS itself - only skos:exactMatch is transitive per the SKOS Reference; closeMatch/broadMatch/narrowMatch/relatedMatch are explicitly NOT, "to avoid the possibility of compound errors when combining mappings across more than two concept schemes" (SKOS Reference, Section 8.1). amt:RoleChainAxiom is what makes the composition possible, with a degraded weight rather than a blind assumption.
#comment_2: weight_source=GSAS means the real minimal-model degree (exactMatch=1.0, closeMatch=0.9381, both reused unchanged from scenario 2). weight_source=BORROWED-ILLUSTRATIVE means GSAS does not calibrate this predicate at all (broadMatch/narrowMatch are outside all four GSAS models) - the relatedMatch degree (0.4947) is used here as a reasoned analogy (narrowMatch, like relatedMatch, is looser than an equivalence-type match), NOT a GSAS value for narrowMatch itself. See the scenario README for why this is a judgement call, not a fact.
chain	step	subject_id	subject_label	predicate_id	object_id	object_label	weight	weight_source
1	1	bbt:Concept_000003	materials	skos:narrowMatch	gemet:5184	metal	0.49465994151156367	BORROWED-ILLUSTRATIVE (relatedMatch analogy)
1	2	gemet:5184	metal	skos:closeMatch	dbpedia:Metal	Metal	0.9380796757830466	GSAS
2	1	wnk:tower	tower (single built work)	skos:narrowMatch	aat:300004847	towers (single built works)	0.49465994151156367	BORROWED-ILLUSTRATIVE (relatedMatch analogy)
2	2	aat:300004847	towers (single built works)	skos:exactMatch	dai:_bb043f29	Turm	1.0	GSAS (via InverseAxiom symmetry, scenario 1)
2	3	dai:_bb043f29	Turm	skos:exactMatch	dai:_2f0a0fae	tower alone	1.0	GSAS (via InverseAxiom symmetry, scenario 1)
3	1	wnk:tower	tower (single built work)	skos:narrowMatch	aat:300004847	towers (single built works)	0.49465994151156367	BORROWED-ILLUSTRATIVE (relatedMatch analogy)
3	2	aat:300004847	towers (single built works)	skos:exactMatch	dai:_bb043f29	Turm	1.0	GSAS (via InverseAxiom symmetry, scenario 1)
3	3	dai:_bb043f29	Turm	skos:exactMatch	dai:_2f0a0fae	tower alone	1.0	GSAS (via InverseAxiom symmetry, scenario 1)
3	4	dai:_2f0a0fae	tower alone	skos:closeMatch	dai:_ce1b5484	Observation tower	0.9380796757830466	GSAS
